Name,Construction,Type, Speed (mph),Length (feet),Number of Inversions
10 Inversion Roller Coaster,Steel,Sit Down,45,2788.8,10
Abismo,Steel,Sit Down,65.2,1476.4,2
Adrenaline Peak,Steel,Sit Down,45,1050,3
Afterburn,Steel,Inverted,62,2956,6
Alpengeist,Steel,Inverted,67,3828,6
Alpina Blitz,Steel,Sit Down,51.6,2358.9,0
Altair,Steel,Sit Down,52.8,2879.8,10
American Eagle,Wood,Sit Down,66,4650,0
Anaconda,Wood,Sit Down,55.9,3937,0
Apocalypse,Steel,Stand Up,55,2900,2
Apocalypse the Ride,Wood,Sit Down,50.1,2877,0
Apollo's Chariot,Steel,Sit Down,73,4882,0
Atlantica SuperSplash,Steel,Sit Down,49.7,1279.5,0
Backlot Stunt Coaster,Steel,Sit Down,40,1960,0
Balder,Wood,Sit Down,55.9,3510.5,0
Bandit,Wood,Sit Down,49.7,3605.7,0
Banshee,Steel,Inverted,68,4124,7
Bat,Steel,Suspended,51,2352,0
Batman - The Dark Knight,Steel,Sit Down,55,2600,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman The Ride,Steel,Inverted,50,2693,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman The Ride,Steel,Inverted,50,2693,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman the Ride,Steel,Inverted,49.7,2260.5,5
Batman: Arkham Asylum,Steel,Inverted,49.7,2700.2,5
Batwing,Steel,Flying,50,3340,5
Beast,Wood,Sit Down,64.8,7359,0
Behemoth,Steel,Sit Down,77,5318,0
Big Apple Coaster,Steel,Sit Down,67,4777,2
Big Loop,Steel,Sit Down,39.2,2316.3,4
Big One,Steel,Sit Down,74,5497,0
Big Thunder Mountain,Steel,Sit Down,40.4,4921.3,0
Big Thunder Mountain Railroad,Steel,Sit Down,28,2671,0
Bizarro,Steel,Sit Down,61,3985,7
Black Mamba,Steel,Inverted,49.7,2519.7,4
blue fire Megacoaster,Steel,Sit Down,62.1,3464.5,4
Blue Hawk,Steel,Sit Down,52,2742,5
Blue Streak,Wood,Sit Down,40,2558,0
Boardwalk Bullet,Wood,Sit Down,51,3236,0
Bocaraca,Steel,Sit Down,37.3,1148.3,2
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang Coast to Coaster,Steel,Sit Down,47,935,3
Boss,Wood,Sit Down,66.3,4631,0
Boulder Dash,Wood,Sit Down,60,4725,0
Bullet Coaster,Steel,Sit Down,83,,0
Cannibal,Steel,Sit Down,70,2735,4
Cedar Creek Mine Ride,Steel,Steel,42,2540,0
Coaster Express,Wood,Sit Down,49.7,4574,0
Coaster Thrill Ride,Wood,Sit Down,50,2650,0
Coaster Through the Clouds,Steel,Sit Down,84.5,5105,0
Colorado Adventure,Steel,Sit Down,31.1,4199.5,0
Colossus,Steel,Sit Down,45,2788.8,10
Comet,Steel,Sit Down,40.4,1935.7,3
Corkscrew,Steel,Steel,48,2050,3
Corkscrew,Steel,Sit Down,50,1950,3
Crazy Bird,Steel,Sit Down,,1279.5,2
Crazy Coaster,Steel,Sit Down,52.8,2870.8,10
Cyclone,Wood,Sit Down,55,2800,0
Demon,Steel,Sit Down,50,2130,4
Demon,Steel,Sit Down,50,2130,4
Desafio,Steel,Inverted,49.7,2260.5,5
Desert Race,Steel,Sit Down,62.1,2132.6,0
Desperado,Steel,Sit Down,80,5843,0
Diamondback,Steel,Sit Down,80,5282,0
Dinoconda,Steel,Wing,78.3,3444.9,3
Do-Dodonpa,Steel,Sit Down,111.8,4081.3,1
Doble Loop,Steel,Sit Down,56,2822,2
Dragon Khan,Steel,Sit Down,65,4165,8
Dragon Mountain,Steel,Sit Down,50,5500,4
Dragon's Run,Steel,Sit Down,65,3738,6
Eejanaika,Steel,Wing,78.3,3782.8,3
El Toro,Wood,Sit Down,70,4400,0
El Toro,Wood,Sit Down,45.6,2379,0
Eurosat Can Can Coaster,Steel,Sit Down,37.3,3024.8,0
Expedition GeForce,Steel,Sit Down,74.6,4002.6,0
Extreme Rusher,Steel,Sit Down,83,2788.8,0
Fahrenheit,Steel,Sit Down,58,2700,6
Firehawk,Steel,Flying,50,3340,5
Firewhip,Steel,Inverted,49.7,2260.5,5
Flash,Steel,Sit Down,71.5,4176.5,2
Flashback,Steel,Sit Down,47,935,3
Flight Deck,Steel,Inverted,50,2260,3
Flight Deck,Steel,Inverted,49.7,2260.5,5
Flight of Fear,Steel,Sit Down,54,2705,4
Flight of Fear,Steel,Sit Down,54,2705,4
Flight of the Phoenix,Steel,Sit Down,49.7,2723.1,8
Fluch von Novgorod,Steel,Sit Down,62.1,2296.6,1
Fly the Great Nor'Easter,Steel,Inverted,55,2170,5
Flying Aces,Steel,Sit Down,74.6,4921.3,1
Force One,Steel,Sit Down,40.4,1738.8,0
Formula Rossa,Steel,Sit Down,149.1,6561.7,0
Fujiyama,Steel,Sit Down,80.8,6708.7,0
Full Throttle,Steel,Sit Down,70,2200,2
Furius Baco,Steel,Wing,83.9,2788.8,1
Fury 325,Steel,Sit Down,95,6602,0
Gao,Steel,Sit Down,60.9,5457.7,0
GateKeeper,Steel,Wing,67,4164,6
Gemini,Steel,Sit Down,60,3935,0
GhostRider,Wood,Sit Down,56,4533,0
Giant Dipper,Wood,Sit Down,55,2640,0
Giant Dipper,Wood,Sit Down,55,2600,0
Goliath,Steel,Sit Down,85,4500,0
Goliath,Steel,Sit Down,70,4480,0
Goliath,Steel,Inverted,50,2693,5
Goliath,Steel,Inverted,65.6,1204,3
Goliath,Wood,Sit Down,72,3100,2
Goudurix,Steel,Sit Down,56,3116.8,7
Great White,Steel,Inverted,50,2562,5
