Name,Height (feet), Speed (mph),Length (feet),Number of Inversions
10 Inversion Roller Coaster,98.4,45,2788.8,10
Abismo,151.6,65.2,1476.4,2
Adrenaline Peak,72,45,1050,3
Afterburn,113,62,2956,6
Alpengeist,195,67,3828,6
Alpina Blitz,108.3,51.6,2358.9,0
Altair,108.3,52.8,2879.8,10
American Eagle,127,66,4650,0
Anaconda,118.1,55.9,3937,0
Apocalypse,100,55,2900,2
Apocalypse the Ride,95,50.1,2877,0
Apollo's Chariot,170,73,4882,0
Atlantica SuperSplash,98.4,49.7,1279.5,0
Backlot Stunt Coaster,45.2,40,1960,0
Balder,118.1,55.9,3510.5,0
Bandit,91.2,49.7,3605.7,0
Banshee,167,68,4124,7
Bat,78,51,2352,0
Batman - The Dark Knight,117.8,55,2600,5
Batman The Ride,100,50,2700,5
Batman The Ride,105,50,2693,5
Batman The Ride,105,50,2700,5
Batman The Ride,105,50,2693,5
Batman The Ride,105,50,2700,5
Batman the Ride,109.3,49.7,2260.5,5
Batman: Arkham Asylum,105,49.7,2700.2,5
Batwing,115,50,3340,5
Beast,110,64.8,7359,0
Behemoth,230,77,5318,0
Big Apple Coaster,203,67,4777,2
Big Loop,98.4,39.2,2316.3,4
Big One,213,74,5497,0
Big Thunder Mountain,72.2,40.4,4921.3,0
Big Thunder Mountain Railroad,104,28,2671,0
Bizarro,142,61,3985,7
Black Mamba,85.3,49.7,2519.7,4
blue fire Megacoaster,124.7,62.1,3464.5,4
Blue Hawk,122,52,2742,5
Blue Streak,78,40,2558,0
Boardwalk Bullet,96,51,3236,0
Bocaraca,64,37.3,1148.3,2
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang,116.5,47,935,3
Boomerang Coast to Coaster,116.5,47,935,3
Boss,122,66.3,4631,0
Boulder Dash,110,60,4725,0
Cannibal,208,70,2735,4
Cedar Creek Mine Ride,48,42,2540,0
Coaster Express,120,49.7,4574,0
Coaster Thrill Ride,55,50,2650,0
Coaster Through the Clouds,242.8,84.5,5105,0
Colorado Adventure,85.3,31.1,4199.5,0
Colossus,98.4,45,2788.8,10
Comet,78.7,40.4,1935.7,3
Corkscrew,85,48,2050,3
Corkscrew,85,50,1950,3
Crazy Coaster,108.3,52.8,2870.8,10
Cyclone,80,55,2800,0
Demon,102,50,2130,4
Demon,103.7,50,2130,4
Desafio,109.3,49.7,2260.5,5
Desert Race,62.3,62.1,2132.6,0
Desperado,209,80,5843,0
Diamondback,230,80,5282,0
Dinoconda,226.4,78.3,3444.9,3
Do-Dodonpa,160.8,111.8,4081.3,1
Doble Loop,59.1,56,2822,2
Dragon Khan,148,65,4165,8
Dragon Mountain,186,50,5500,4
Dragon's Run,150,65,3738,6
Eejanaika,249.3,78.3,3782.8,3
El Toro,181,70,4400,0
El Toro,80.5,45.6,2379,0
Eurosat Can Can Coaster,83.7,37.3,3024.8,0
Expedition GeForce,173.9,74.6,4002.6,0
Extreme Rusher,170.6,83,2788.8,0
Fahrenheit,121,58,2700,6
Firehawk,115,50,3340,5
Firewhip,109.3,49.7,2260.5,5
Flash,200.2,71.5,4176.5,2
Flashback,116.5,47,935,3
Flight Deck,102,50,2260,3
Flight Deck,109.3,49.7,2260.5,5
Flight of Fear,74.2,54,2705,4
Flight of Fear,74.2,54,2705,4
Flight of the Phoenix,101.7,49.7,2723.1,8
Fluch von Novgorod,131.3,62.1,2296.6,1
Fly the Great Nor'Easter,115,55,2170,5
Flying Aces,206.7,74.6,4921.3,1
Force One,72.2,40.4,1738.8,0
Formula Rossa,170.6,149.1,6561.7,0
Fujiyama,259.2,80.8,6708.7,0
Full Throttle,160,70,2200,2
Furius Baco,46,83.9,2788.8,1
Fury 325,325,95,6602,0
Gao,131.3,60.9,5457.7,0
GateKeeper,170,67,4164,6
Gemini,125.3,60,3935,0
GhostRider,118,56,4533,0
Giant Dipper,70,55,2640,0
Giant Dipper,73,55,2600,0
Goliath,235,85,4500,0
Goliath,200,70,4480,0
Goliath,105,50,2693,5
Goliath,191.6,65.6,1204,3
Goliath,165,72,3100,2
Goudurix,118,56,3116.8,7
Great White,108,50,2562,5
Green Lantern Coaster,108.3,41,1601.1,2
Griffon,205,71,3108,2
Grizzly,91,55,3250,0
Hades 360,136,60,4746,1
Half Pipe,98.4,43.5,229.7,0
HeiBe Fahrt,57.4,34.2,1745.4,0
Helix,134.5,62.1,4530.8,7
Hydra the Revenge,95,53,3198,7
Hyper Coaster,200.2,71.5,4176.5,2
Hyperion,252.6,88.2,4757.2,1
Incredible Hulk,110,67,3700,7
Incredicoaster,120,55,6072,1
Intimidator,232,75,5316,0
Intimidator 305,305,90,5100,0
Invertigo,131.3,50,1013.8,3
Iron Dragon,76,40,2800,0
Iron Rattler,179,70,3266,1
iSpeed,180.4,68.4,3215.2,2
Joker,120,38,1019,5
Joker,100,53,3200,3
Judge Roy Scream,71,45,2670,0
Jungle Trailblazer,111.6,54.1,3989.5,0
Jupiter,138,57,5249.3,0
Katapul,137.8,53,722,1
Katun,164.1,64.6,3937,6
Kawazemi,101.7,52.8,2477,0
Kingda Ka,456,128,3118,0
Kong,109.3,49.7,2260.5,5
Kraken,149,65,4177,7
Kumba,143,60,3978,7
Legend,99,59,4042,0
Leviathan,306,92,5486,0
Lightning Rod,207,73,3800,0
Limit,109.3,49.7,2260.5,5
Magnum XL-200,205,72,5106,0
Mako,200,73,4760,0
Mamba,205,75,5600,0
Mammut,98.4,55.9,2821.5,0
Manta,140,56,3359,4
Manta,30,43,2800,0
Maverick,105,70,4450,2
Medusa,150,65,3937,7
Medusa Steel Coaster,98,58,3000,3
Millennium Force,310,93,6595,0
Mind Eraser,109.3,49.7,2260.5,5
Mind Eraser,109.3,49.7,2260.5,5
Mine Blower,83,45.8,2290,1
Monster,131.3,55.9,3937,6
Montana  Rusa,110,52.8,4000,0
Montezooma's Revenge,148,55,800,1
Montezum,139.1,64,3380,0
Montu,150,60,3983,7
MP-Xpress,109.3,49.7,2260.5,5
Mr. Freeze Reverse Blast,218,70,1300,1
Mr. Freeze Reverse Blast,218,70,1300,1
Mystic Timbers,109.2,53,3265,0
Nemesis,42.6,50,2349,4
Nemisis Inferno,95.2,47.8,2460.7,4
Nessie Superrollercoaster,85.3,49.1,2431.1,1
New Revolution,113,55,3457,1
New Texas Giant,153,68.6,4200,0
Ninja,60,55,2800,0
Nitro,230,80,5394,0
Oblivion,65,68,1222,0
Outlaw Run,107,68,2937,3
Pandemonium,48,31,1351,0
Pandemonium,53,31,1351,0
Patriot,149,60,3081,4
Phaethon,147.7,55.9,3280.8,6
Phantom's Revenge,160,85,3200,0
Phoenix,78,45,3200,0
Piraten,101.7,52.8,2477,0
Poltergeist,78.8,60,2705,4
Prowler,102.3,51.2,3074,0
Pyrenees,147.7,62.1,4048.6,6
Python in Bamboo Forest,164.1,62.1,5111,0
Quimera,111,53,3444,3
Racer,88,53,3415,0
Raging Bull,202,73,5057,0
RailBlazer,106,52,1800,3
Ranier Rush,63,45,1775,1
Raptor,137,57,3790,6
Raptor,109.3,49.7,2260.5,5
Raven,80,48,2800,0
Ravine Flyer II,80,57,2900,0
Red Force,367.3,111.8,2887.2,0
Renegade,97.5,51.3,3113,0
Revenge of the Mummy the Ride,44.4,40,1906,0
Riddler Revenge,109.3,49.7,2260.5,5
Riddler's Revenge,156,65,4370,6
Ride of Steel,208,73,5400,0
Road Runner Express,73,35,2400,0
Rock 'n' Roller Coaster,80,57,3403,3
Rougarou,145,60,3900,4
Saw - The Ride,100,55,2362,3
Schwur des Kärnan,239.5,78.9,4051.8,1
Scream!,150,63,3985,7
Screamer,90,50,2600,0
Shambhala,249.3,83.3,5131.3,0
Shock Wave,116,60,3600,2
Sidewinder,56,45,635,1
Silver Bullet,146,55,3125,6
Silver Star,239.5,78.9,5315,0
Sky Scream,150,62,863,1
Sky Wheel,151.6,65.3,492.2,2
Skyrush,200,75,3600,0
Smiler,72.2,52.8,3838.6,14
Snow Mountain Flying Dragon,117.8,54.9,2202.8,4
Soaring Dragon & Dancing Phoenix,196.8,84,4192,6
Soaring with Dragon,196.8,77.7,3438.3,1
Spatiale Experience,65.6,37.3,2624.7,0
SpeedSnake FREE,64,37.3,1148.3,2
Stampida,84,46,3127,0
Star Mountain,75,40,2400,2
Star Wars Hyperspace Mountain: Rebel Mission,105,44,3281,3
Stealth,205.1,80,1312.3,0
Steel Dragon 2000,318.3,95,8133.2,0
Steel Eel,150,65,3700,0
Steel Force,200,75,5600,0
Steel Vengeance,205,74,5740,4
Steel Venom,185,68,630,0
Storm Chaser,100,52,2744,3
Storm Runner,150,75,2600,3
Stunt Fall,191,65.6,1204,3
Super Tornado,64,37.3,1148.3,2
Superman - Ride Of Steel,197,73,5350,0
Superman - Ultimate Flight,106,51,2798,2
Superman / la Atracción de Acero,164.1,62.1,3608.9,7
Superman el Último Escape,219.8,74.6,5577.4,0
Superman Krypton Coaster,168,70,4015,6
Superman the Ride,208,77,5400,0
Superman: Escape from Krypton,415,100,1235,0
Swarm,127,57,2543,5
T Express,183.8,64.6,5383.8,0
Takabisha,141,62.1,3280.8,7
Talon,135,58,3110,4
Taron,98.4,72.7,4330.8,0
Tatsu,170,62,3602,4
Taunusblitz,45.9,28,1213.9,0
Temple of the Night Hawk,38.4,28.9,3851.7,0
Terminator Salvation: The Coaster,29,81,876.9,0
Texas Tornado,80,65,2050,2
Thunder Dolphin,262.5,80.8,3500,0
Timber Wolf,100,53,4230,0
Timberhawk: Ride of Prey,75,50,2600,0
Time Traveler,100,50.3,3020,3
Titan,245,85,5312,0
Titan Cascabel,75,55,2500,0
Tonnerre de Zeus,98,52,4044,0
Top Thrill Dragster,420,120,2800,0
Tornado,64,37.3,1148.3,2
Tower of Terror II,377.3,100,1235,0
Twisted Colossus,121,57,4990,2
Twister II,100,55,4640,0
Ultimate,107,50,7442,0
V2: Vertical Velocity,150,65,630,0
Valravn,223,75,3415,3
Velikolukskiy Myasokombinat ,124,62.1,3464,4
Velikolukskiy Myasokombinat-2,108,52.8,2870,10
Vertical Velocity,185,70,630,0
Viper,188,70,3830,7
Viper,100,50,3458,0
Vortex,148,55,3800,6
Voyage,159,67,6442,0
Whirl Wind Looping Coaster,64,37.3,1148,2
Whizzer,70,42,3100,0
Wicked Cyclone,109,55,3320,3
Wicked Twister,215,72,215,0
Wild One,98,53,4000,0
Wild Thing,207,74,5460,0
Wild Thing,75,40,1565,3
Wildfire,183.8,71.5,4150.3,3
Winjas,57.1,41,1526.6,0
Wodan Timbur Coaster,131.3,62.1,3444.9,0
X2,175,76,3610,2
Xcelerator,145.3,63.2,3278.6,0
