Heigh    Spee   Lengt   Numbe   
0.038   0.043   0.047   0.170   
0.059   0.062   0.025   0.034   
0.028   0.043   0.018   0.051   
0.044   0.059   0.050   0.102   
0.075   0.064   0.064   0.102   
0.042   0.049   0.040   0.000   
0.042   0.050   0.048   0.170   
0.049   0.063   0.078   0.000   
0.046   0.053   0.066   0.000   
0.039   0.052   0.049   0.034   
0.037   0.048   0.048   0.000   
0.066   0.069   0.082   0.000   
0.038   0.047   0.021   0.000   
0.017   0.038   0.033   0.000   
0.046   0.053   0.059   0.000   
0.035   0.047   0.061   0.000   
0.065   0.064   0.069   0.119   
0.030   0.048   0.040   0.000   
0.046   0.052   0.044   0.085   
0.039   0.047   0.045   0.085   
0.041   0.047   0.045   0.085   
0.041   0.047   0.045   0.085   
0.041   0.047   0.045   0.085   
0.041   0.047   0.045   0.085   
0.042   0.047   0.038   0.085   
0.041   0.047   0.045   0.085   
0.044   0.047   0.056   0.085   
0.043   0.061   0.124   0.000   
0.089   0.073   0.089   0.000   
0.079   0.064   0.080   0.034   
0.038   0.037   0.039   0.068   
0.082   0.070   0.092   0.000   
0.028   0.038   0.083   0.000   
0.040   0.027   0.045   0.000   
0.055   0.058   0.067   0.119   
0.033   0.047   0.042   0.068   
0.048   0.059   0.058   0.068   
0.047   0.049   0.046   0.085   
0.030   0.038   0.043   0.000   
0.037   0.048   0.054   0.000   
0.025   0.035   0.019   0.034   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.045   0.045   0.016   0.051   
0.047   0.063   0.078   0.000   
0.043   0.057   0.079   0.000   
0.080   0.066   0.046   0.068   
0.019   0.040   0.043   0.000   
0.046   0.047   0.077   0.000   
0.021   0.047   0.045   0.000   
0.094   0.080   0.086   0.000   
0.033   0.029   0.071   0.000   
0.038   0.043   0.047   0.170   
0.030   0.038   0.033   0.051   
0.033   0.046   0.034   0.051   
0.033   0.047   0.033   0.051   
0.042   0.050   0.048   0.170   
0.031   0.052   0.047   0.000   
0.039   0.047   0.036   0.068   
0.040   0.047   0.036   0.068   
0.042   0.047   0.038   0.085   
0.024   0.059   0.036   0.000   
0.081   0.076   0.098   0.000   
0.089   0.076   0.089   0.000   
0.088   0.074   0.058   0.051   
0.062   0.106   0.069   0.017   
0.023   0.053   0.047   0.034   
0.057   0.062   0.070   0.136   
0.072   0.047   0.092   0.068   
0.058   0.062   0.063   0.102   
0.096   0.074   0.064   0.051   
0.070   0.066   0.074   0.000   
0.031   0.043   0.040   0.000   
0.032   0.035   0.051   0.000   
0.067   0.071   0.067   0.000   
0.066   0.079   0.047   0.000   
0.047   0.055   0.045   0.102   
0.044   0.047   0.056   0.085   
0.042   0.047   0.038   0.085   
0.077   0.068   0.070   0.034   
0.045   0.045   0.016   0.051   
0.039   0.047   0.038   0.051   
0.042   0.047   0.038   0.085   
0.029   0.051   0.045   0.068   
0.029   0.051   0.045   0.068   
0.039   0.047   0.046   0.136   
0.051   0.059   0.039   0.017   
0.044   0.052   0.036   0.085   
0.080   0.071   0.083   0.017   
0.028   0.038   0.029   0.000   
0.066   0.141   0.110   0.000   
0.100   0.077   0.113   0.000   
0.062   0.066   0.037   0.034   
0.018   0.080   0.047   0.017   
0.126   0.090   0.111   0.000   
0.051   0.058   0.092   0.000   
0.066   0.064   0.070   0.102   
0.048   0.057   0.066   0.000   
0.046   0.053   0.076   0.000   
0.027   0.052   0.044   0.000   
0.028   0.052   0.044   0.000   
0.091   0.081   0.076   0.000   
0.077   0.066   0.075   0.000   
0.041   0.047   0.045   0.085   
0.074   0.062   0.020   0.051   
0.064   0.068   0.052   0.034   
0.046   0.053   0.052   0.119   
0.042   0.047   0.043   0.085   
0.042   0.039   0.027   0.034   
0.079   0.067   0.052   0.034   
0.035   0.052   0.055   0.000   
0.053   0.057   0.080   0.017   
0.038   0.041   0.004   0.000   
0.022   0.032   0.029   0.000   
0.052   0.059   0.076   0.119   
0.037   0.050   0.054   0.119   
0.077   0.068   0.070   0.034   
0.098   0.084   0.080   0.017   
0.043   0.064   0.062   0.119   
0.046   0.052   0.102   0.017   
0.090   0.071   0.089   0.000   
0.118   0.085   0.086   0.000   
0.051   0.047   0.017   0.051   
0.029   0.038   0.047   0.000   
0.069   0.066   0.055   0.017   
0.070   0.065   0.054   0.034   
0.046   0.036   0.017   0.085   
0.039   0.050   0.054   0.051   
0.027   0.043   0.045   0.000   
0.043   0.051   0.067   0.000   
0.053   0.054   0.088   0.000   
0.053   0.050   0.012   0.017   
0.063   0.061   0.066   0.102   
0.039   0.050   0.042   0.000   
0.176   0.121   0.052   0.000   
0.042   0.047   0.038   0.085   
0.058   0.062   0.070   0.119   
0.055   0.057   0.067   0.119   
0.038   0.056   0.068   0.000   
0.118   0.087   0.092   0.000   
0.080   0.069   0.064   0.000   
0.042   0.047   0.038   0.085   
0.079   0.068   0.086   0.000   
0.077   0.069   0.080   0.000   
0.079   0.071   0.094   0.000   
0.038   0.053   0.047   0.000   
0.054   0.053   0.056   0.068   
0.012   0.041   0.047   0.000   
0.041   0.066   0.075   0.034   
0.058   0.062   0.066   0.119   
0.038   0.055   0.050   0.051   
0.120   0.088   0.111   0.000   
0.042   0.047   0.038   0.085   
0.042   0.047   0.038   0.085   
0.032   0.043   0.038   0.017   
0.051   0.053   0.066   0.102   
0.043   0.050   0.067   0.000   
0.057   0.052   0.013   0.017   
0.054   0.061   0.057   0.000   
0.058   0.057   0.067   0.119   
0.042   0.047   0.038   0.085   
0.084   0.066   0.022   0.017   
0.084   0.066   0.022   0.017   
0.042   0.050   0.055   0.000   
0.016   0.047   0.039   0.068   
0.037   0.045   0.041   0.068   
0.033   0.047   0.041   0.017   
0.044   0.052   0.058   0.017   
0.059   0.065   0.071   0.000   
0.023   0.052   0.047   0.000   
0.089   0.076   0.091   0.000   
0.025   0.064   0.021   0.000   
0.041   0.064   0.049   0.051   
0.019   0.029   0.023   0.000   
0.021   0.029   0.023   0.000   
0.058   0.057   0.052   0.068   
0.057   0.053   0.055   0.102   
0.062   0.081   0.054   0.000   
0.030   0.043   0.054   0.000   
0.039   0.050   0.042   0.000   
0.030   0.057   0.045   0.068   
0.040   0.049   0.052   0.000   
0.057   0.059   0.068   0.102   
0.063   0.059   0.086   0.000   
0.043   0.050   0.058   0.051   
0.034   0.050   0.057   0.000   
0.078   0.069   0.085   0.000   
0.041   0.049   0.030   0.051   
0.024   0.043   0.030   0.017   
0.053   0.054   0.064   0.102   
0.042   0.047   0.038   0.085   
0.031   0.046   0.047   0.000   
0.031   0.054   0.049   0.000   
0.142   0.106   0.049   0.000   
0.038   0.049   0.052   0.000   
0.017   0.038   0.032   0.000   
0.042   0.047   0.038   0.085   
0.060   0.062   0.073   0.102   
0.080   0.069   0.091   0.000   
0.028   0.033   0.040   0.000   
0.031   0.054   0.057   0.051   
0.056   0.057   0.066   0.068   
0.039   0.052   0.040   0.051   
0.093   0.075   0.068   0.017   
0.058   0.060   0.067   0.119   
0.035   0.047   0.044   0.000   
0.096   0.079   0.086   0.000   
0.045   0.057   0.060   0.034   
0.022   0.043   0.011   0.017   
0.056   0.052   0.052   0.102   
0.093   0.075   0.089   0.000   
0.058   0.059   0.014   0.017   
0.059   0.062   0.008   0.034   
0.077   0.071   0.060   0.000   
0.028   0.050   0.064   0.238   
0.046   0.052   0.037   0.068   
0.076   0.080   0.070   0.102   
0.076   0.074   0.058   0.017   
0.025   0.035   0.044   0.000   
0.025   0.035   0.019   0.034   
0.032   0.044   0.053   0.000   
0.029   0.038   0.040   0.034   
0.041   0.042   0.055   0.051   
0.079   0.076   0.022   0.000   
0.123   0.090   0.137   0.000   
0.058   0.062   0.062   0.000   
0.077   0.071   0.094   0.000   
0.079   0.070   0.096   0.068   
0.072   0.064   0.011   0.000   
0.039   0.049   0.046   0.051   
0.058   0.071   0.044   0.051   
0.074   0.062   0.020   0.051   
0.025   0.035   0.019   0.034   
0.076   0.069   0.090   0.000   
0.041   0.048   0.047   0.034   
0.063   0.059   0.061   0.119   
0.085   0.071   0.094   0.000   
0.065   0.066   0.067   0.102   
0.080   0.073   0.091   0.000   
0.161   0.095   0.021   0.000   
0.049   0.054   0.043   0.085   
0.071   0.061   0.090   0.000   
0.055   0.059   0.055   0.119   
0.052   0.055   0.052   0.068   
0.038   0.069   0.073   0.000   
0.066   0.059   0.061   0.068   
0.018   0.027   0.020   0.000   
0.015   0.027   0.065   0.000   
0.011   0.077   0.015   0.000   
0.031   0.062   0.034   0.034   
0.102   0.077   0.059   0.000   
0.039   0.050   0.071   0.000   
0.029   0.047   0.044   0.000   
0.039   0.048   0.051   0.051   
0.095   0.081   0.089   0.000   
0.029   0.052   0.042   0.000   
0.038   0.049   0.068   0.000   
0.162   0.114   0.047   0.000   
0.025   0.035   0.019   0.034   
0.146   0.095   0.021   0.000   
0.047   0.054   0.084   0.034   
0.039   0.052   0.078   0.000   
0.041   0.047   0.125   0.000   
0.058   0.062   0.011   0.000   
0.086   0.071   0.057   0.051   
0.048   0.059   0.058   0.068   
0.042   0.050   0.048   0.170   
0.072   0.066   0.011   0.000   
0.073   0.066   0.064   0.119   
0.039   0.047   0.058   0.000   
0.057   0.052   0.064   0.102   
0.062   0.064   0.108   0.000   
0.025   0.035   0.019   0.034   
0.027   0.040   0.052   0.000   
0.042   0.052   0.056   0.051   
0.083   0.068   0.004   0.000   
0.038   0.050   0.067   0.000   
0.080   0.070   0.092   0.000   
0.029   0.038   0.026   0.051   
0.071   0.068   0.070   0.051   
0.022   0.039   0.026   0.000   
0.051   0.059   0.058   0.000   
0.068   0.072   0.061   0.034   
0.056   0.060   0.055   0.000   
